sender_frequency,keyword_score,thread_length,response_deadline_hours,attachment_count,previous_priority_rate,target
4,63.1,0,8.8,3,34.73,0
1,59.16,3,5.85,0,25.8,0
3,2.59,3,1.0,4,85.01,1
3,72.42,6,3.85,1,9.95,1
2,32.71,1,16.63,3,20.9,0
3,66.18,4,11.7,3,54.38,1
3,55.54,3,12.91,0,48.3,0
3,34.59,1,11.98,1,9.13,0
2,14.19,2,3.72,4,5.65,0
4,10.25,2,1.05,1,93.93,1
2,82.49,3,3.18,2,64.3,1
1,91.0,0,17.83,3,37.89,0
4,64.68,0,36.0,1,47.34,0
6,11.14,3,6.81,3,28.99,0
2,40.4,4,1.0,2,36.04,0
1,72.44,6,1.51,5,63.41,1
3,77.42,4,3.89,1,84.45,1
2,12.59,2,8.64,1,21.57,0
4,1.0,2,1.0,5,80.63,1
0,70.79,6,28.71,0,15.94,0
4,35.95,3,4.54,2,24.35,0
2,25.94,3,24.37,2,8.35,0
2,2.26,3,15.17,3,17.67,0
5,53.95,2,14.08,1,87.56,1
3,84.41,2,9.33,4,46.35,1
4,94.85,3,9.86,4,11.99,1
1,56.44,4,10.16,2,91.38,1
4,51.42,0,9.91,2,84.11,1
3,9.34,2,8.07,2,72.92,0
3,54.79,5,36.0,2,89.01,0
5,38.24,5,13.18,5,24.81,1
3,60.5,2,15.0,4,80.27,1
4,39.1,2,20.59,0,67.1,0
3,24.55,3,2.43,3,83.28,1
4,10.31,2,1.0,3,76.72,1
5,31.86,4,6.6,2,36.18,0
1,10.47,1,7.22,2,74.7,0
2,18.34,1,17.67,3,28.62,0
3,97.76,3,5.87,6,34.57,1
5,44.52,4,8.46,1,14.71,0
5,53.12,3,7.49,0,89.16,1
3,86.61,1,1.0,1,31.19,1
2,98.57,2,9.55,1,51.86,1
3,58.11,1,17.61,0,40.22,0
3,80.62,0,1.71,1,91.39,1
1,33.04,2,9.02,4,35.15,0
6,30.96,2,9.0,1,75.07,1
1,40.46,1,1.79,6,81.99,1
6,66.91,5,1.32,1,44.2,1
3,67.85,7,36.0,2,39.04,0
3,31.89,2,5.0,3,72.3,1
2,14.05,2,2.58,0,87.16,0
3,62.97,2,1.88,6,72.94,1
2,13.58,1,11.01,4,25.44,0
6,57.69,2,9.4,1,84.95,1
2,68.96,2,10.32,2,39.88,0
7,69.66,4,1.0,7,56.86,1
2,74.84,1,22.4,2,79.83,1
0,86.54,3,4.93,2,21.96,0
5,50.0,2,3.76,5,75.61,1
0,72.56,3,6.21,4,58.65,1
6,61.68,4,4.94,1,85.4,1
